Action,1 Node,2 Nodes,4 Nodes,App-specific
jmeter_login_and_view_dashboard,491,522,543,False
jmeter_view_issue,523,208,231,False
jmeter_search_jql,1299,491,530,False
jmeter_view_dashboard,265,106,116,False
jmeter_view_scrum_board,378,164,181,False
jmeter_view_backlog,890,345,367,False
jmeter_create_issue:open_quick_create,182,81,104,False
jmeter_create_issue:fill_and_submit_issue_form,424,250,313,False
jmeter_view_kanban_board,363,178,186,False
jmeter_browse_projects,178,64,69,False
jmeter_edit_issue:open_editor,279,115,123,False
jmeter_edit_issue:save_edit,620,332,345,False
jmeter_view_project_summary,306,128,147,False
jmeter_add_comment:open_comment,193,79,94,False
jmeter_add_comment:save_comment,634,302,364,False
jmeter_browse_boards,206,75,83,False
selenium_login:open_login_page,200,126,124,False
selenium_login:login_and_view_dashboard,803,688,677,False
selenium_login,1014,813,796,False
selenium_project_summary,569,422,436,False
selenium_browse_projects_list,442,329,326,False
selenium_browse_boards_list,881,765,770,False
selenium_create_issue:open_quick_create,812,702,691,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,645,612,607,False
selenium_create_issue:fill_and_submit_issue_form,1445,1311,1299,False
selenium_create_issue,2222,1987,1965,False
selenium_edit_issue:open_edit_issue_form,956,743,727,False
selenium_edit_issue:save_edit_issue_form,1012,846,807,False
selenium_edit_issue,2220,1843,1799,False
selenium_save_comment:open_comment_form,552,454,441,False
selenium_save_comment:submit_form,875,703,733,False
selenium_save_comment,1506,1231,1233,False
selenium_search_jql,1734,1174,1207,False
selenium_view_scrum_board_backlog,1508,1263,1253,False
selenium_view_scrum_board,1006,907,903,False
selenium_view_kanban_board,1410,1399,1124,False
selenium_view_dashboard,958,807,857,False
selenium_view_issue,710,576,573,False
selenium_log_out,567,460,464,False
